t_rel_s,x,y,z,qx,qy,qz,qw
3.0192,0.158819,0.486406,0.537358,0.142208,0.989449,-0.015063,0.023240
3.0294,0.159090,0.486971,0.536832,0.142143,0.989458,-0.015069,0.023255
3.0393,0.159439,0.487773,0.536001,0.141998,0.989477,-0.015308,0.023164
3.0491,0.159836,0.488703,0.534985,0.141818,0.989501,-0.015693,0.022986
3.0592,0.160395,0.489910,0.533598,0.141666,0.989520,-0.016293,0.022711
3.0693,0.160926,0.491184,0.532050,0.141416,0.989550,-0.017074,0.022379
3.0793,0.161525,0.492618,0.530308,0.141180,0.989577,-0.017971,0.021965
3.0891,0.162104,0.494062,0.528473,0.140901,0.989608,-0.018998,0.021500
3.0992,0.162620,0.495513,0.526618,0.140574,0.989644,-0.020043,0.021032
3.1096,0.163003,0.496852,0.524923,0.140207,0.989685,-0.020978,0.020614
3.1194,0.163260,0.498149,0.523379,0.139750,0.989741,-0.021730,0.020271
3.1291,0.163373,0.499284,0.522098,0.139282,0.989798,-0.022319,0.020045
3.1393,0.163361,0.500300,0.521016,0.138795,0.989862,-0.022684,0.019859
3.1493,0.163210,0.501148,0.520187,0.138247,0.989936,-0.022893,0.019773
3.1590,0.162944,0.501940,0.519460,0.137664,0.990015,-0.022985,0.019780
3.1695,0.162568,0.502612,0.518945,0.137039,0.990103,-0.022914,0.019791
3.1792,0.162091,0.503183,0.518537,0.136391,0.990194,-0.022789,0.019860
3.1894,0.161580,0.503737,0.518181,0.135707,0.990289,-0.022638,0.019952
3.1992,0.160993,0.504262,0.517860,0.134995,0.990389,-0.022472,0.020022
3.2093,0.160410,0.504753,0.517600,0.134305,0.990485,-0.022277,0.020121
3.2192,0.159853,0.505268,0.517278,0.133594,0.990583,-0.022117,0.020206
3.2293,0.159312,0.505778,0.516922,0.132923,0.990674,-0.022071,0.020242
3.2391,0.158796,0.506323,0.516515,0.132251,0.990764,-0.022062,0.020261
3.2493,0.158327,0.506901,0.516049,0.131585,0.990852,-0.022097,0.020252
3.2594,0.157913,0.507498,0.515525,0.130955,0.990933,-0.022186,0.020251
3.2693,0.157532,0.508136,0.514976,0.130328,0.991015,-0.022282,0.020189
3.2791,0.157223,0.508802,0.514384,0.129763,0.991087,-0.022409,0.020154
3.2894,0.156996,0.509507,0.513730,0.129240,0.991153,-0.022593,0.020067
3.2991,0.156775,0.510235,0.513025,0.128706,0.991218,-0.022820,0.019994
3.3092,0.156610,0.510991,0.512261,0.128196,0.991281,-0.023091,0.019866
3.3191,0.156532,0.511833,0.511368,0.127707,0.991338,-0.023455,0.019723
3.3294,0.156469,0.512687,0.510425,0.127271,0.991388,-0.023875,0.019537
3.3391,0.156499,0.513598,0.509372,0.126824,0.991437,-0.024354,0.019344
3.3488,0.156588,0.514512,0.508251,0.126446,0.991477,-0.024911,0.019102
3.3594,0.156734,0.515466,0.507110,0.126104,0.991511,-0.025429,0.018884
3.3696,0.156907,0.516376,0.505965,0.125825,0.991536,-0.025988,0.018657
3.3793,0.157101,0.517231,0.504873,0.125590,0.991557,-0.026486,0.018429
3.3889,0.157293,0.517993,0.503909,0.125426,0.991571,-0.026883,0.018261
3.3991,0.157487,0.518680,0.503079,0.125285,0.991583,-0.027170,0.018140
3.4091,0.157650,0.519262,0.502380,0.125165,0.991593,-0.027410,0.018059
3.4191,0.157793,0.519839,0.501718,0.125056,0.991603,-0.027575,0.017984
3.4293,0.157930,0.520426,0.501063,0.124959,0.991613,-0.027672,0.017963
3.4393,0.158041,0.521083,0.500453,0.124823,0.991632,-0.027597,0.017993
3.4490,0.158148,0.521801,0.499711,0.124691,0.991649,-0.027580,0.017982
3.4592,0.158238,0.522656,0.498893,0.124520,0.991673,-0.027507,0.017988
3.4692,0.158327,0.523541,0.498025,0.124373,0.991693,-0.027457,0.017980
3.4790,0.158390,0.524525,0.497051,0.124192,0.991716,-0.027440,0.017965
3.4894,0.158402,0.525563,0.496017,0.123956,0.991746,-0.027444,0.017924
3.4991,0.158354,0.526666,0.494968,0.123671,0.991783,-0.027412,0.017907
3.5092,0.158250,0.527733,0.493945,0.123395,0.991818,-0.027431,0.017864
3.5193,0.158083,0.528922,0.492790,0.122994,0.991866,-0.027504,0.017828
3.5294,0.157846,0.530068,0.491712,0.122565,0.991918,-0.027589,0.017769
3.5391,0.157546,0.531254,0.490534,0.122061,0.991977,-0.027773,0.017675
3.5491,0.157211,0.532421,0.489380,0.121527,0.992037,-0.027999,0.017573
3.5591,0.156809,0.533659,0.488126,0.120852,0.992113,-0.028323,0.017427
3.5692,0.156395,0.534819,0.486986,0.120201,0.992186,-0.028625,0.017287
3.5791,0.155985,0.535967,0.485831,0.119542,0.992258,-0.028957,0.017158
3.5895,0.155568,0.537057,0.484743,0.118856,0.992334,-0.029283,0.017002
3.5993,0.155164,0.538124,0.483713,0.118185,0.992407,-0.029580,0.016903
3.6092,0.154749,0.539111,0.482729,0.117525,0.992479,-0.029903,0.016735
3.6193,0.154439,0.540099,0.481721,0.116912,0.992543,-0.030247,0.016603
3.6292,0.154146,0.541025,0.480789,0.116341,0.992602,-0.030581,0.016461
3.6394,0.153897,0.541967,0.479794,0.115762,0.992660,-0.030985,0.016298
